id;output
2055;1.0
6618;0.0
3402;1.0
4441;1.0
7042;0.0
5816;0.0
3888;0.0
1467;0.0
891;0.0
6576;0.0
287;1.0
5151;1.0
14;0.0
4911;1.0
7016;0.0
875;0.0
6784;1.0
3234;0.0
6867;0.0
4739;1.0
2873;0.0
6822;0.0
2591;0.0
2588;1.0
4807;0.0
1132;1.0
6003;0.0
5257;0.0
1216;1.0
2235;1.0
5431;0.0
1281;0.0
1014;1.0
5225;1.0
5867;0.0
6437;0.0
1597;0.0
2805;1.0
3039;1.0
4002;0.0
6367;0.0
5690;1.0
5803;1.0
5006;0.0
1314;0.0
5362;1.0
2065;1.0
6608;0.0
2655;1.0
3597;1.0
3276;0.0
6688;0.0
5079;0.0
3534;0.0
5218;1.0
2475;0.0
4696;0.0
6949;0.0
2563;1.0
1946;0.0
6413;0.0
5847;0.0
3222;0.0
6717;0.0
33;0.0
4055;1.0
2890;1.0
1835;1.0
6991;1.0
2078;1.0
4649;1.0
976;0.0
6990;1.0
1722;0.0
3517;0.0
2955;1.0
194;1.0
2608;0.0
5901;0.0
4737;0.0
3526;0.0
5190;0.0
3428;1.0
4858;0.0
6070;1.0
6716;1.0
3545;0.0
5584;0.0
1710;0.0
5953;1.0
4400;0.0
3662;1.0
1160;1.0
7024;0.0
5386;1.0
3410;1.0
3154;0.0
528;0.0
90;0.0
2604;0.0
1571;0.0
1833;1.0
1008;0.0
304;0.0
1529;0.0
2417;0.0
6202;1.0
1196;0.0
4838;1.0
2752;1.0
1526;1.0
4934;0.0
6574;0.0
3312;0.0
6109;1.0
1736;0.0
6655;0.0
1692;0.0
3874;0.0
4275;1.0
227;0.0
4623;1.0
6981;0.0
3088;0.0
6625;1.0
1715;0.0
722;0.0
982;1.0
5858;0.0
2949;1.0
1864;0.0
4692;0.0
3879;0.0
3955;0.0
2826;0.0
5288;0.0
1122;1.0
2426;0.0
1363;1.0
2892;0.0
6015;0.0
2141;0.0
49;1.0
420;0.0
6359;0.0
5353;1.0
1035;1.0
3416;0.0
5366;1.0
291;1.0
6614;1.0
2580;1.0
39;1.0
2754;1.0
6944;0.0
4740;0.0
5774;1.0
1336;1.0
1654;1.0
2648;0.0
800;0.0
4315;1.0
4046;0.0
3460;0.0
5135;1.0
3286;0.0
629;1.0
2478;0.0
3319;0.0
6163;0.0
499;0.0
48;1.0
6580;0.0
6931;0.0
1513;0.0
3432;0.0
6464;0.0
4626;0.0
878;0.0
3202;1.0
4751;0.0
541;0.0
1595;0.0
479;0.0
4119;1.0
1766;0.0
4395;1.0
1785;1.0
6650;0.0
3480;0.0
7031;0.0
2161;1.0
6052;0.0
3448;1.0
3594;0.0
3754;1.0
4788;0.0
188;0.0
5888;0.0
3601;0.0
4017;0.0
4298;0.0
4582;1.0
1398;1.0
6490;0.0
5523;1.0
5166;0.0
1180;0.0
938;0.0
6975;1.0
5280;1.0
4612;0.0
124;0.0
4674;1.0
7039;1.0
5540;0.0
1563;0.0
4763;0.0
5258;0.0
5745;1.0
4024;1.0
5546;0.0
4301;0.0
768;0.0
1237;0.0
5308;0.0
6225;1.0
2505;1.0
5507;1.0
5998;0.0
2134;1.0
2247;1.0
2420;0.0
4077;1.0
771;1.0
6727;0.0
6212;0.0
2224;0.0
4130;1.0
842;0.0
3348;0.0
4979;1.0
6573;1.0
3166;0.0
475;0.0
5411;0.0
6468;0.0
6094;0.0
3212;0.0
6092;1.0
3595;1.0
6166;0.0
4406;0.0
613;0.0
5489;0.0
4837;1.0
1843;1.0
519;1.0
6175;0.0
6575;0.0
4946;0.0
888;0.0
2650;1.0
143;1.0
4658;0.0
2182;0.0
5875;0.0
3197;1.0
6027;0.0
4590;0.0
4804;0.0
5925;0.0
5351;0.0
5111;0.0
1267;0.0
1168;1.0
7034;0.0
2959;0.0
1185;0.0
6475;0.0
2640;0.0
2851;0.0
4617;0.0
3013;0.0
2661;0.0
5315;0.0
2565;1.0
651;0.0
4314;0.0
2278;0.0
6815;0.0
3994;1.0
2804;1.0
3790;0.0
5261;0.0
737;0.0
2815;0.0
472;1.0
2998;0.0
5583;0.0
6788;1.0
6482;0.0
2070;1.0
5772;1.0
6164;1.0
6913;0.0
1555;0.0
263;0.0
1343;0.0
6751;1.0
4884;0.0
6652;1.0
1421;0.0
4100;0.0
1189;0.0
1815;0.0
3050;0.0
2694;0.0
5799;0.0
4027;0.0
1034;0.0
559;1.0
5937;0.0
3074;0.0
5668;0.0
1379;1.0
5246;0.0
2014;1.0
3728;0.0
3528;0.0
6224;1.0
2579;1.0
6950;0.0
6508;1.0
1593;0.0
6724;0.0
3805;1.0
206;1.0
4583;0.0
2381;0.0
840;0.0
1326;0.0
2260;0.0
2102;1.0
987;0.0
5506;0.0
2385;0.0
4174;1.0
3495;0.0
6115;0.0
3378;1.0
6920;0.0
6515;1.0
2213;1.0
